id,kind,stratum,domain,stage,proposition,status,population,weight,evidence_summary,solve_count_link,gap_type,claim_type,scope,system_locus,mechanic_resources,source_paths
P151,implicit premise,epistemic,measurement & attribution,measurement,Intended treatment participation must be verified at the final consumer before causal verdicts.,open / governing guardrail,experiment,very high,"Historical option-transport, allowlist, serialization and read-site failures show nominal configuration does not guarantee runtime participation.",False non-participation can turn an untested mechanism into a fake negative.,delivery fidelity,correctness / soundness,experiment; treatment,measurement / attribution,delivery; participation,docs/solver-research-operating-model.md; docs/solver-archaeology-register.md; docs/solver-scheduling-policy.md
P152,implicit premise,epistemic,measurement & attribution,measurement,"Lifecycle/winner attribution must preserve the actual action, stage, and configuration that produced the solve.",open / governing guardrail,experiment,high,Research repeatedly distinguishes action identity from execution context and warns against lifecycle attribution drift.,Wrong attribution corrupts capability memory and future routing.,attribution fidelity,correctness / soundness,solve; experiment,measurement / attribution,winner identity; stage identity,docs/solver-scheduling-policy.md; docs/solver-research-operating-model.md
P153,implicit premise,epistemic,"budget, routing & control",scheduling,Natural exhaustion and budget censoring are causally different outcomes for continuation value.,established distinction / under-mapped premise,attempt; action,high,Scheduling policy explicitly defines budget stops as right-censoring and natural exhaustion as no continuation remaining.,Conflating them misprices continuation and can starve useful search.,censoring semantics,sufficiency / economics,attempt; tranche,budget / scheduling / continuation,exhaustion; censoring,docs/solver-scheduling-policy.md
P154,open question,architecture,"budget, routing & control",scheduling,Predecessor and execution context can change an action's value; isolated action identity is not enough.,explicitly recognized / incompletely modeled,attempt; stage,high,Scheduling policy separates search-action identity from execution context and blocks inference under unexplained predecessor dependence.,Sequence-sensitive capability may be hidden by action-only comparisons.,context-conditioned action value,composition / interaction,attempt; stage,budget / scheduling / continuation,predecessor; continuation,docs/solver-scheduling-policy.md; docs/solver-technique-operational-taxonomy.md
P155,open question,architecture,input & state representation,preprocessing,Root-static preprocessing may be insufficient; state-conditioned graph facts may carry new capability.,high-value open,state,high,"Static prep is strong, while topology forks show completion relevance can change with path history.",Dynamic graph facts may distinguish LIVE/DEAD states invisible to root-static summaries.,dynamic preprocessing gap,sufficiency / expressivity,state,input normalization + root preprocessing,topology; connectivity; separators,docs/solver-reasoning-capability-atlas.md; docs/mechanic-state-contracts.md; docs/solver-future-work.md
P156,open question,architecture,frontier retention & diversity,state retention,Sound state dominance may compress search where exact equality is rare and lossy merge is unsafe.,largely unasked explicit form,state; frontier,high,Exact identity has weak compression while coarse merge can mix LIVE/DEAD; a proof-bearing partial order is conceptually distinct from both.,Safe dominance could buy breadth without capability loss.,dominance gap,sufficiency / correctness,state; frontier,state representation + equivalence / dominance,resource dominance; future inclusion,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md
P157,open question,architecture,global obligation reasoning,global feasibility,Hardness may be driven by competition for shared future resources across mechanics.,major underasked parent premise,state; level,very high,"Mechanic contracts expose shared cell, axis, turn, order, corridor, length and intersection capacities; current reasoning is mostly per-family.",Resource contention can make individually feasible obligations jointly impossible.,shared-resource composition gap,causality / composition,state; level,strategic / global feasibility,cell; axis; turn; order; corridor; length; intersection,docs/mechanic-state-contracts.md; docs/solver-per-instance-relational-feasibility-preflight.md; docs/solver-reasoning-capability-atlas.md
P158,implicit premise,epistemic,correctness & evaluation,evidence,Exact/reference-model support coverage conditions which premise populations can be labelled.,open / selection-effect guardrail,population; corpus,high,"Exact support is heterogeneous across mechanics, so exact-labelled samples are not neutral samples of Pathfinder semantics.",Unsupported mechanics may be systematically underrepresented in premise discovery.,exact-model selection effect,generalization / portability,population; corpus,measurement / attribution / evidence,model support coverage,docs/mechanic-state-contracts.md; docs/solver-evaluation-evidence.md
P159,open question,mechanism,pruning & exact inference,micro-query,Exact-query tractability and value may be predictable from current residual structure.,open / deferred until signal,state; level,high,"Bounded exact reasoning is an identified gap, but economics require a legal trigger that predicts cheap useful answers.",Selective exactification could add solves without paying global exact cost.,exact-query selector gap,economics / selection,state; level,local inference + exact micro-query,tractability; uncertainty,docs/solver-future-work.md; docs/solver-reasoning-capability-atlas.md
P160,open question,architecture,candidate generation & reachability,routing,Multiple start gates may define complementary basins and deserve explicit allocation and knowledge-transfer analysis.,underasked,level; invocation,medium,"solveLevel traverses gates and attempt configurations, but gate choice is not a major explicit research axis.",Gate-specific basins could create missed capability or wasted duplicate work.,gate-allocation gap,prevalence / economics,level; invocation,start / gate + action generation,gates; transfer,docs/solver-architecture.md; docs/solver-scheduling-policy.md
