id,kind,stratum,domain,stage,proposition,status,population,weight,evidence_summary,solve_count_link,gap_type,dependencies,interactions,adjacent_unasked,source_paths,architecture_epoch
P001,implicit premise,epistemic,correctness & evaluation,validation,Canonical validation accepts every solution that should count as a legitimate solve.,open / partially audited,general,high,"Independent candidate validation is exact within the canonical rules, but acceptance semantics remain a deferred audit surface.",A false reject hides real capability; a false accept inflates solve count.,evaluation gap,,,Are there mechanic-edge cases where solver and game semantics disagree? Are multiple legitimate solution classes represented?,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P002,open question,epistemic,correctness & evaluation,benchmark,The current benchmark population is representative enough that solve-count deltas generalize to the residual of interest.,open / population-sensitive,general,high,Repo repeatedly narrows tests to classes/cohorts because aggregate populations dilute effects.,Wrong population can erase a real solve mechanism or manufacture a misleading average.,population-conditioning gap,,,What latent subclasses exist inside the residual? Which mechanisms have heterogeneous treatment effects?,docs/solver-research-question-relations.json; docs/solver-future-work.md,current
P003,implicit premise,epistemic,correctness & evaluation,benchmark,A zero unique-solve delta is sufficient evidence that a signal or capability is useless.,explicitly weakened,general,high,Capability-memory doctrine and many rank-moving nulls distinguish treatment failure from capability value.,Discarding useful latent capability can block later combinations that produce solves.,negative-result overgeneralization,,,"Which null treatments created useful intermediate movement, diagnostics, or complementary basin evidence?",docs/solver-capability-memory.md; docs/solver-reasoning-capability-atlas.md,current
P004,open question,epistemic,correctness & evaluation,benchmark,Sparse solve count has enough resolution to discover mechanisms before they are production-ready.,open,general,high,"Research uses exact LIVE/DEAD labels, first-divergence traces, rank movement, work dose, and capability signatures as intermediate evidence.",Mechanisms can be invisible until several components align.,objective/observability gap,,,What intermediate metric is causally closest to a new solve for each failure locus?,docs/solver-research-question-relations.json; docs/solver-reasoning-capability-atlas.md,current
P005,implicit premise,epistemic,correctness & evaluation,benchmark,"Historical negative evidence remains portable across architecture, production boundary, budgets, and residual populations.",explicitly conditional,general,high,Freshness replays and reopen conditions repeatedly require changed architecture/population to be accounted for.,Stale negatives can falsely close productive regions.,architecture-epoch gap,,,"Can every negative be tagged by code epoch, population, work contract and exact mechanism?",docs/solver-archaeology-register.md; docs/solver-research-question-relations.json,current
P006,open question,epistemic,correctness & evaluation,experiment design,Independent validation/referee methods are themselves independent of the treatment and free of construction leakage.,open / guarded,general,medium,Future work explicitly calls out adversarial counterexample generation and independent confirmation.,Leakage can overstate capability and misdirect solve acquisition.,evaluation gap,,,,docs/solver-future-work.md,current
P010,implicit premise,architecture,input & state representation,pre-search,The normalized puzzle/input representation preserves every completion-relevant distinction.,open,general,high,"Mechanic-state contracts are strong, but atlas still identifies path-history topology and future-state equivalence as open representation gaps.","If information is erased before search, no ranker or budget can recover the missing solve.",representation gap,,,Which distinctions are canonicalized away? Which are semantically equivalent versus merely syntactically similar?,docs/solver-reasoning-capability-atlas.md; docs/solver-residual-state-representation.md,current
P011,implicit premise,architecture,input & state representation,state merge,Residual-state equality is a sufficient proxy for future behavioral equivalence.,open / naive forms weakened,general,high,Behavioral quotient and topology evidence show low-dimensional state abstractions can mix LIVE and DEAD; naive exact transposition has poor compression.,Unsound or lossy equivalence can extinguish the only solvable future.,state-equivalence gap,,,"Can equivalence be defined behaviorally, conditionally, or with proof-carrying signatures?",docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P012,open question,architecture,input & state representation,node,Full path history contains completion-relevant topology not captured by ordinary decision vocabulary.,supported premise / open mechanism,controlled topology forks and residual,high,Controlled same-board/same-endpoint LIVE/DEAD forks support topology relevance beyond matched ordinary progress state.,A topology-aware relation could preserve or prioritize branches current heuristics cannot distinguish.,representation + inference gap,,,"What generic current-input topology consequence is sound, cheap and actionable?",docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P013,open question,architecture,input & state representation,planning,Completion regimes/options should be represented explicitly before geometric commitment.,largely untested,general,high,Atlas identifies no first-class completion-regime object.,Could prevent irreversible commitment to a locally plausible but globally impossible regime.,representation/planning gap,,,What is the smallest completion-regime object that predicts solvability without exploding state?,docs/solver-reasoning-capability-atlas.md,current
P014,open question,architecture,input & state representation,pre-search,A sound compact region/interface contract can summarize separator-bounded subproblems.,active/prepared gate,general,high,Separator/decomposition census is current cheap gate; contract-state size and path-history dependence are load-bearing.,Could turn one hard global search into composable local searches.,decomposition representation gap,,,How much path history crosses a separator? Are contracts smaller than raw frontier state?,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P015,open question,architecture,input & state representation,pre-search,Current-input symmetries/canonical forms can collapse repeated equivalent work soundly.,deferred,general,medium,Future work reopens only when a sound equivalence and material repetition are both demonstrated.,Compression could buy effective search breadth and reveal solves.,canonicalization gap,,,Are there mechanic-preserving automorphisms inside single levels with enough recurrence to matter?,docs/solver-future-work.md,current
P016,speculation,architecture,input & state representation,planning,A graph/sequence representation richer than current scalar/local state would expose missing global relations.,deferred / broad form unearned,general,medium,Future-work archaeology contains graph/sequence representation ideas; current atlas prefers semantic operation before algorithm.,Could enable joint obligations or backward reasoning.,representation gap,,,"Which exact relation cannot be computed cheaply from current state, and why?",docs/solver-future-work.md; docs/solver-archaeology-register.md,current
P020,implicit premise,architecture,candidate generation & reachability,pre-search,All needed semantic/lexical candidates are present in the candidate graph supplied to search.,open,general,high,"Future work preserves lexical/normalization expansion, external resources, LM proposal, and candidate-generation diagnosis.",Absent targets are categorically unsolvable by downstream ordering.,candidate-generation gap,,,"For current misses, how many targets are absent versus present but unreached?",docs/solver-future-work.md; docs/solver-archaeology-register.md,current
P021,premise,mechanism,candidate generation & reachability,pre-search,Synonym/lexical expansion can add solutions missed by the base source.,historically explored / conditional,general,medium,Archaeology records synonym and lexical-source experiments; future work requires evidence candidate generation is implicated.,Expands reachable answer graph.,reopen only with failure-locus evidence,,,,docs/solver-archaeology-register.md; docs/solver-future-work.md,historical + current conditional
P022,speculation,mechanism,candidate generation & reachability,pre-search,External lexical resources can supply missing candidates or relations.,deferred,general,medium,Explicit future-work descendant.,Only matters for source-absent failures.,candidate-source gap,,,,docs/solver-future-work.md,current
P023,speculation,mechanism,candidate generation & reachability,proposal,Language-model proposal can generate or rerank candidates that symbolic sources miss.,deferred / unearned,general,medium,Listed as future work but subordinate to demonstrated candidate-generation or ranking need.,Could expand graph or reorder it.,candidate-generation / ranking,,,Separate generative value from reranking value; audit validator and provenance.,docs/solver-future-work.md,current
P024,open question,epistemic,candidate generation & reachability,diagnosis,"For each unsolved level, is an accepted solution absent from the candidate graph, present but unreachable, or reached and lost later?",major under-observed question,general,very high,"Atlas and future-work emphasize failure-locus diagnostics, while current research has richer evidence for later-stage extinction than source absence.",This partition determines which entire research families can possibly add solves.,failure-locus observability,,,Build target lineage from source through validation for exact-labelled samples.,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P030,premise,mechanism,pruning & exact inference,node,Current turn gating/pruning may suppress unique valid solves.,historically central / specific forms tested,general,high,Question graph includes turn-gating suppression; multiple pruning and lower-bound mechanisms have been tested/landed.,False negatives remove solutions irrecoverably.,mechanism-specific,,,,docs/solver-research-question-relations.json; docs/solver-archaeology-register.md,current
