Level ID,Category,Grid Size,ReqLen,ReqInt,Must-Pass,Must-Cross,Portals,Filters,Flipping Filters,Landmarks,Geese,Witness Length,Nodes Expanded,Primary Blocker,Secondary Issues,Recommendation
R02000,Algorithmically Hard,12×12,85,4,0,0,3.5,0,6,15,0,93,300000255,Dynamic portal + flipping filter state explosion,Adjacent-turn landmark interference,Portal-aware attraction scoring
R02614,Algorithmically Hard,12×12,102,7,0,0,2,0,0,8,0,107,300000255,Portal + must-turn interaction,Limited routing flexibility,Portal-must-turn aware scoring
R01157,Algorithmically Hard,15×15,117,4,0,4,0,0,8,12,5,118,300000254,Large grid + must-cross + flipping filters,Adjacent-turn landmark complexity,Landmark-turn priority heuristic
R03134,Algorithmically Hard,13×13,94,5,0,0,3,0,0,14,7,101,300000253,Portal + must-turn landmark interaction,Geese add complexity,Turn-prioritization by landmark type
R03288,Algorithmically Hard,15×15,117,3,7,0,3,0,7,27,0,124,300000252,Multi-layer constraint complexity (must-pass + portal + filters + landmarks),Surround landmarks interact with must-pass,State reduction + portal-must-pass coordination
R02011,Algorithmically Hard,12×12,77,5,6,0,3.5,0,8,13,5,85,300000251,Portal + must-pass + flipping filter interaction,Geese add blocking considerations,Portal-must-pass reachability awareness
R02548,Algorithmically Hard,11×11,91,5,0,5,0,0,8,8,0,92,300000250,Must-cross + flipping filter axis sequencing,Small grid limits routing,Smart must-cross axis planning
R02253,Algorithmically Hard,15×15,128,8,5,7,0,0,0,9,5,129,300000247,High constraint overlap (7 must-cross + 5 must-pass + 8 intersections),Geese add complexity,Constraint propagation for overlap regions
R02523,Algorithmically Hard,13×13,102,8,0,7,0,0,7,7,6,103,300000240,Open-board intersection sequencing + dynamic filters,Must-cross axis interaction,Dynamic intersection-urgency heuristic
R00082,Algorithmically Hard,15×15,132,7,6,7,2.5,0,8,8,8,138,300000118,Extreme complexity - everything combined,Every constraint type present,Multiple combined improvements needed
R01254,Algorithmically Hard,15×15,163,12,0,6,0,0,0,20,5,164,300000039,High intersection (12) forcing ultra-tight routing,Must-cross sequencing requirement,Intersection-must-cross co-awareness
R01426,Algorithmically Hard,13×13,124,9,0,6,2,0,8,7,8,129,300000028,Portal + geese + must-cross coordination,High intersection requirement,Test goose-awareness impact
R02663,Algorithmically Hard,13×13,118,12,8,7,3.5,0,0,10,0,126,300000015,Extreme constraint density (7 must-cross + 8 must-pass + 12 intersections),Portal axis complexity,Constraint propagation for must-pass/must-cross overlap
R01882,Algorithmically Hard,13×13,106,13,0,7,3.5,0,7,19,0,114,300000005,Highest intersection requirement (13) + portals + filters,Must-cross axis sequencing,Intersection-path-cost awareness
R02252,Heuristic Blind Spot,12×12,84,5,5,5,0,0,7,6,6,85,300000003,Early intersection scoring locks in suboptimal paths,Flipping filter + must-cross + must-pass trade-off,Alternative scoring: must-cross > must-pass > intersection
R02471,Heuristic Blind Spot,12×12,107,8,6,8,0,0,0,15,8,108,300000002,Misprioritized scoring between must-cross/must-pass/intersection,Three competing constraints,Constraint-hierarchy scoring experiment
R02231,Heuristic Blind Spot,12×12,91,3,0,3,0,0,5,22,5,92,300000001,Turn scoring blind to flipping filter dynamics,Must-turn landmarks + filter axis mismatch,Filter-aware turn scoring
R01487,Heuristic Blind Spot,14×14,122,8,6,7,0,0,0,14,0,123,300000000,Adjacent-turn landmarks interact poorly with must-cross cells,Large grid adds complexity,Landmark-constraint interaction aware scoring
R00975,Geometry Edge Case,14×14,134,8,0,0,3.5,0,0,15,0,142,300000000,Portal placement on sparse board defeats precomputation,Large sparse grid limits heuristics,Portal-destination cost heuristic
R00242,Heuristic Blind Spot,11×11,59,1,0,0,2.5,0,5,23,5,65,300000070,Portal exit scoring doesn't respect turn constraints,Portal + must-turn landmark interaction,Portal-landmark interaction enforcement
