id,kind,stratum,domain,stage,proposition,status,population,weight,evidence_summary,solve_count_link,gap_type,claim_type,scope,system_locus,mechanic_resources,source_paths
P177,open question,architecture,lifecycle handoffs,stage transition,"Information useful to future search may be lost specifically at handoffs between beam, DFS, repair, gates, attempts, or external exact observers even when each component is locally adequate.",major underasked parent premise,invocation; stage,very high,"Architecture documents distinct search stages and attempt boundaries; premise map previously treated loci more strongly than the interfaces between them.",A unique viable regime can disappear because its representation or evidence is not transferred across stages.,handoff-contract gap,composition / persistence,stage; invocation,cross-locus interface,frontier; learned facts; commitments,docs/solver-architecture.md; docs/solver-reasoning-capability-atlas.md
P178,implicit premise,architecture,budget & continuation,attempt boundary,"Discarding a live frontier at a work cap assumes reconstruction/restart is an acceptable substitute for preserving continuation state.",explicit architecture / semantic parent open,attempt; frontier,high,"Production beam attempts still discard live frontiers at work caps while an opt-in resumability primitive reproduces uninterrupted continuation exactly.",Budget may destroy capability through state loss rather than merely limit work.,continuation-state loss,persistence / economics,attempt; frontier,budget / scheduling / continuation,frontier state; continuation,docs/solver-architecture.md; docs/solver-search-resumability.md
P179,open question,architecture,state equivalence,equivalence,"Future-state equivalence may be relative to the remaining policy and work envelope rather than an absolute property of puzzle state.",underasked,state; attempt,very high,"Exact identity, coarse merge, behavioral quotienting and sound dominance ask related but differently scoped questions; future distinguishability can depend on which actions remain affordable or routable.",States equivalent under one continuation policy may diverge under another and vice versa.,policy-relative equivalence,sufficiency / generalization,state; attempt,state representation + equivalence / dominance,policy; budget; future action set,docs/solver-architecture.md; docs/solver-premise-space-completeness-matrix.md
P180,open question,architecture,state dominance,dominance,"A dominance proof may need to include remaining work, continuation rights, and acquired solve-local knowledge, not only puzzle resources.",new refinement,state; frontier,high,"P156 introduces sound state dominance but current state objects exclude research/search-process knowledge and work-history context.",A puzzle-resource superset can still be strategically worse if it has less usable continuation or information.,contextual dominance gap,correctness / sufficiency,state; frontier,state representation + equivalence / dominance,work; knowledge; continuation,docs/solver-architecture.md; docs/solver-premise-space-extension-2026-09-17.csv
P181,implicit premise,epistemic,residual populations,population formation,"The current unsolved residual is an endogenous survivor population sculpted by every earlier production capability, budget, and portfolio ordering decision.",major methodological guardrail,residual population,very high,"Corpus 2 and retained stress populations have documented migration, cleanup and repeated-mining histories; production residual classes likewise change as treatments gain solves.",Prevalence measured on today's residual may not describe tomorrow's or the source distribution's failure modes.,endogenous-residual bias,generalization / prevalence,residual population,measurement / attribution / evidence / closure,survivorship; portfolio selection,data/stress/README.md; docs/solver-evaluation-evidence.md
P182,open question,epistemic,portfolio composition,measurement,"A technique's observed residual and apparent uniqueness depend on which earlier techniques ran and succeeded first.",partly recognized / under-generalized,portfolio; population,high,"Early-success execution censors later actions (P172), but the stronger population consequence is that each later action is evaluated on a predecessor-conditioned survivor set.",Technique value and failure classes can change when portfolio order changes even with identical per-action behavior.,portfolio-conditioned residual,causality / generalization,portfolio; population,measurement / attribution / evidence / closure,ordering; early exit; survivor set,docs/solver-scheduling-policy.md; docs/solver-premise-space-extension-2026-09-17.csv
P183,open question,epistemic,first-loss causality,diagnosis,"For a missed solve, can the earliest irreversible loss be tied to a minimal counterfactual decision change rather than merely a timestamped divergence from one witness?",major parent refinement,level; trace,very high,"P135 asks for first-loss lineage, but first divergence can be non-causal when alternate completions remain available; solution multiplicity further weakens witness-relative attribution.",Counterfactual minimal causes can separate real loss mechanisms from harmless divergence.,counterfactual first-loss gap,causality / observability,level; trace,measurement / diagnosis,alternate witnesses; minimal intervention,docs/solver-premise-space-atlas.md; docs/solver-premise-space-completeness-matrix.md
P184,open question,architecture,retention & exploration,retention,"A branch can have strategic option value because it preserves a rare completion regime even when its immediate score and estimated success probability are low.",underasked parent premise,frontier,very high,"Regime-aware diversity is open, but option value distinguishes preservation of future choice from ordinary diversity or ranking quality.",A top-k frontier can extinguish the only branch retaining a scarce future option.,option-value retention,sufficiency / economics,frontier,frontier retention / merge / diversity,regime rarity; reversibility,docs/solver-premise-space-atlas.md; docs/solver-premise-space-completeness-matrix.md
P185,open question,architecture,information acquisition,exploration,"Some search actions may be valuable primarily because they reveal information about feasibility, conflict, or regime structure rather than because they lie on a final solution path.",major underasked refinement,state; invocation,very high,"P037/P142 motivate buying information, but the dominant search object still treats progress-bearing prefixes as the principal valuable actions.",Diagnostic excursions could improve later routing or revision without surviving into the final path.,off-path information value,causality / economics,state; invocation,ordering / exploration,uncertainty; causal probes,docs/solver-premise-space-atlas.md; docs/solver-reasoning-capability-atlas.md
P186,open question,architecture,budget & control,termination,"Within a level, deciding when to abandon one search hypothesis or architecture may be as important as deciding which one to start.",underasked,attempt; invocation,high,"Scheduling research prices continuation but mostly frames allocation among actions; stopping a now-unpromising active line is a distinct sequential decision.",Late recognition of structural mismatch can waste the work needed by a complementary capability.,adaptive abandonment gap,economics / revision,attempt; invocation,budget / scheduling / continuation,stopping; continuation value,docs/solver-scheduling-policy.md; docs/solver-premise-space-completeness-matrix.md
P187,implicit premise,epistemic,capability economics,composition,"Solver capability is non-monotone under a fixed envelope: more precision, state, search work, or an added treatment can reduce solves by displacement or changed ordering.",supported governing premise,experiment; production,very high,"Gain/loss accounting, matched-work gates and promoted placement-specific mechanisms already show capability must be evaluated under displacement rather than set inclusion.",A locally stronger mechanism can globally shrink the solved set.,non-monotone capability,economics / composition,experiment; production,budget / scheduling / continuation,displacement; ordering; work,docs/solver-scheduling-policy.md; docs/solver-capability-memory.md
P188,implicit premise,epistemic,observability,instrumentation,"Research instrumentation has its own missing-data mechanism and may perturb or censor the execution it is intended to observe.",underasked guardrail,trace; experiment,high,"Operational traces are already known to be policy-conditioned and budget-censored; additional telemetry can alter hot-path work or record only states that survive existing policy.",An apparent absence of a signal may reflect observer reach or observer cost rather than solver semantics.,observer-effect gap,observability / economics,trace; experiment,measurement / attribution / evidence / closure,trace budget; instrumentation cost,docs/solver-technique-operational-taxonomy.md; docs/solver-budget-determinism.md
P189,implicit premise,epistemic,knowledge provenance,communication,"Every solve-local fact needs provenance describing whether it is legal production knowledge, offline oracle evidence, or an experimentally derived hypothesis before it can cross process boundaries.",major governance premise,invocation; research lineage,very high,"Level-blindness permits generic current-instance reasoning but forbids hidden witness/identity steering; exact observers are often offline evidence only.",Without provenance, useful knowledge is either illegally leaked into production or unnecessarily quarantined.,knowledge-provenance gap,correctness / persistence,invocation; research lineage,failure explanation / memory / communication,oracle boundary; current-instance facts,docs/solver-level-blindness.md; docs/solver-reasoning-capability-atlas.md
P190,open question,epistemic,generation methodology,coverage,"Generator adequacy should be assessed against solver-relevant structural/state-space dimensions, not only level-space surface diversity or generator independence.",major newly explicit parent premise,distribution; corpus,very high,"Current generators differ materially in ancestry and topology support, while topology composition intentionally omits several mechanics and structural families.",A corpus can look diverse yet systematically miss the state relations that cause production failures.,solver-relevant coverage gap,prevalence / generalization,distribution; corpus,problem semantics / solution space,topology; mechanics; residual states,data/stress/README.md; docs/solver-evaluation-evidence.md
P191,implicit premise,epistemic,generation methodology,selection,"Requiring generated levels to be solvable by a construction witness induces a selection distribution over solution topology that may differ from naturally authored solvable levels.",underasked selection effect,distribution; corpus,high,"All retained stress levels are solvable by construction; witness-first and topology-composition methods each impose generation grammars, while human-parent contrasts occupy a visibly different structural region.",Premises learned on construction-solvable distributions may underrepresent brittle or low-multiplicity natural solution spaces.,construction-solvability bias,generalization / observability,distribution; corpus,problem semantics / solution space,witness grammar; multiplicity,data/stress/README.md; docs/human-parent-contrast-research.md
