case,level_or_population,operational_capability,isolated_or_controlled_capability,production_offer_or_placement,stage_reach,exact_attempt,real_participation_or_dose,production_or_treatment_outcome,marginal_or_collateral_evidence,predecessor_or_context,status,primary_sources
must-turn-current-rescue,R02768,repair|score=repair|guidance=must-turn-biased,yes_current_matched_7M,default_off_late_additive,yes,yes,1189294_nodes,solve_referee_valid,plain_repair_failed_at_7M,fresh_child_scope_after_real_plain_late_failure,capability_present_placement_proven_economics_pending,reports/2026-09-13-must-turn-biased-repair-dose-pilot-001.md
must-turn-current-rescue,R02180,repair|score=repair|guidance=must-turn-biased,yes_current_matched_7M,default_off_late_additive,yes,yes,6206072_nodes,solve_referee_valid,plain_repair_failed_at_7M,fresh_child_scope_after_real_plain_late_failure,capability_present_placement_proven_economics_pending,reports/2026-09-13-must-turn-biased-repair-dose-pilot-001.md
must-turn-population-impurity,R03049,repair|score=repair|guidance=must-turn-biased,yes_but_not_unique,not_needed_to_establish_guidance_gap,unknown,controlled_cell,12345609_nodes,solve,standard_repair_solved_cheaper_at_11461672,fresh_isolated_cell,capability_shared_not_guidance_gap,reports/2026-09-13-must-turn-biased-repair-dose-pilot-001.md
portal-global-placement,158_gain_set_and_12_losses,STRATEGY_PORTAL_COARSE_STATE_MERGE,yes_historical_matched_AB,global_primary_search_exposure,yes,yes,real_work_in_matched_AB,+158_minus12,collateral_losses_block_global_promotion,global_merge_changes_primary_search_state_equivalence,capability_present_tested_global_placement_economically_bad,reports/2026-09-14-experiment-evidence-lifecycle-audit-001.md;reports/2026-09-11-portal-coarse-state-merge-r01273-collision-forensic-001.md
portal-current-freshness,8_of_113_current_class4_nominations,STRATEGY_PORTAL_COARSE_STATE_MERGE,yes_8_of_8_current_replay,default_off_freshness_replay,n_a_isolated_whole_ladder,yes,production_shaped_work_semantics,8_of_8_solve_referee_valid,diagnostic_only_not_promotion,whole_ladder_with_global_flag_not_dead_last_changed_treatment,capability_present_current_narrower_placement_live,reports/2026-09-13-class4-portal-coarse-freshness-replay-001.md
portal-control-regression,R01273,STRATEGY_PORTAL_COARSE_STATE_MERGE,capability_elsewhere_but_loss_here,global_primary_search_exposure,yes,yes,substantial_deterministic_reproduction,control_winner_killed,root_cause_coarse_key_collision,control_winner_is_must-cross-neighbor-prune-disabled-retry_and_merge_mutates_its_search,placement_negative_not_capability_absence,reports/2026-09-11-portal-coarse-state-merge-r01273-collision-forensic-001.md
admissible-order-zero-work,150_row_retry_population,admissible-order_non-default_retry,unknown_under_tested_repricing,nominally_attempted,nominal,yes_nominal,no_zero_useful_target_stage_work,inconclusive,nominal_arms_cannot_support_causal_repricing_claim,upstream_exhaustion_prevented_target_participation,nonparticipating_unknown,reports/2026-09-14-experiment-evidence-lifecycle-audit-001.md
atlas-class3-generic,current_residual_class3_rows,exact_known_T1_rescuer,yes_census_T1,current_atlas_says_dispatched_and_family_not_starved,yes_or_family_reached,yes_by_identity,unverified_by_residual_classifier,production_miss,none_in_classifier,production_predecessor_context_not_preserved_at_exact_action_dose_grain,insufficient_for_comparable_work_negative,scripts/stress/residual-classification-lib.mjs;scripts/stress/analyze-equal-work-production-reach.mjs
prune-positive-current-rescue,219_row_control_miss_population,PRUNE_MC_PORTAL_FORCED_NEIGHBOR,yes_matched_AB,treatment_flagged_current_residual_test,yes,yes,49662705934_total_work_treatment,21_treatment_solves,plus21_minus0_vs_control,structural_predicate_inside_control_miss_residual,capability_present_marginal_positive,reports/2026-09-14-experiment-evidence-lifecycle-audit-001.md
historical-memory-generic,historical_capability_memory_rows_without_current_reconciliation,historical_action_signature,historical_only,unknown_current,unknown_current,unknown_current,unknown_current,unknown_current,nomination_only,protocol_and_primary_artifact_may_be_historical_or_expired,historical_only_unknown_current,docs/solver-capability-memory.md;reports/2026-09-14-experiment-evidence-lifecycle-audit-001.md
